14:57:52.801 Temperature_(C): 21.00, Humidity_(%): 53.70, VOC_(PPM): 176.95, CO2_(PPM): 589.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
14:57:53.719 Temperature_(C): 21.00, Humidity_(%): 54.20, VOC_(PPM): 193.18, CO2_(PPM): 589.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
14:57:54.563 Temperature_(C): 21.00, Humidity_(%): 54.20, VOC_(PPM): 168.50, CO2_(PPM): 588.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
14:57:55.437 Temperature_(C): 20.90, Humidity_(%): 54.40, VOC_(PPM): 180.50, CO2_(PPM): 585.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
14:57:56.344 Temperature_(C): 20.90, Humidity_(%): 54.40, VOC_(PPM): 160.79, CO2_(PPM): 581.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 2, PM10_(ug/m3): 2
14:57:57.196 Temperature_(C): 20.90, Humidity_(%): 54.40, VOC_(PPM): 188.87, CO2_(PPM): 576.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 2, PM10_(ug/m3): 2
14:57:58.049 Temperature_(C): 20.90, Humidity_(%): 55.90, VOC_(PPM): 323.21, CO2_(PPM): 571.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 2, PM10_(ug/m3): 2
14:57:58.957 Temperature_(C): 20.90, Humidity_(%): 55.90, VOC_(PPM): 167.07, CO2_(PPM): 571.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 2, PM10_(ug/m3): 2
14:57:59.805 Temperature_(C): 20.90, Humidity_(%): 54.60, VOC_(PPM): 184.45, CO2_(PPM): 571.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 2, PM10_(ug/m3): 2
14:58:00.661 Temperature_(C): 20.90, Humidity_(%): 54.60, VOC_(PPM): 153.20, CO2_(PPM): 613.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 2, PM10_(ug/m3): 2
14:58:01.583 Temperature_(C): 20.90, Humidity_(%): 54.40, VOC_(PPM): 168.48, CO2_(PPM): 624.00, PM1.0_(ug/m3): 5, PM2.5_(ug/m3): 6, PM10_(ug/m3): 6
14:58:02.517 Temperature_(C): 20.90, Humidity_(%): 54.40, VOC_(PPM): 149.76, CO2_(PPM): 629.00, PM1.0_(ug/m3): 9, PM2.5_(ug/m3): 12, PM10_(ug/m3): 12
14:58:03.418 Temperature_(C): 20.90, Humidity_(%): 54.70, VOC_(PPM): 172.13, CO2_(PPM): 637.00, PM1.0_(ug/m3): 15, PM2.5_(ug/m3): 16, PM10_(ug/m3): 16
14:58:04.344 Temperature_(C): 20.90, Humidity_(%): 54.70, VOC_(PPM): 142.48, CO2_(PPM): 637.00, PM1.0_(ug/m3): 21, PM2.5_(ug/m3): 22, PM10_(ug/m3): 22
14:58:05.257 Temperature_(C): 20.90, Humidity_(%): 54.70, VOC_(PPM): 168.20, CO2_(PPM): 635.00, PM1.0_(ug/m3): 25, PM2.5_(ug/m3): 30, PM10_(ug/m3): 30
14:58:06.179 Temperature_(C): 20.80, Humidity_(%): 56.70, VOC_(PPM): 297.53, CO2_(PPM): 635.00, PM1.0_(ug/m3): 29, PM2.5_(ug/m3): 35, PM10_(ug/m3): 36
14:58:07.105 Temperature_(C): 20.80, Humidity_(%): 56.70, VOC_(PPM): 151.56, CO2_(PPM): 660.00, PM1.0_(ug/m3): 30, PM2.5_(ug/m3): 37, PM10_(ug/m3): 40
14:58:08.042 Temperature_(C): 20.90, Humidity_(%): 55.50, VOC_(PPM): 287.45, CO2_(PPM): 720.00, PM1.0_(ug/m3): 32, PM2.5_(ug/m3): 41, PM10_(ug/m3): 45
14:58:08.931 Temperature_(C): 20.90, Humidity_(%): 55.50, VOC_(PPM): 148.84, CO2_(PPM): 720.00, PM1.0_(ug/m3): 33, PM2.5_(ug/m3): 41, PM10_(ug/m3): 46
14:58:09.769 
14:58:09.845 Temperature_(C): 20.80, Humidity_(%): 56.80, VOC_(PPM): 651.08, CO2_(PPM): 775.00, PM1.0_(ug/m3): 35, PM2.5_(ug/m3): 45, PM10_(ug/m3): 52
14:58:10.779 Temperature_(C): 20.80, Humidity_(%): 56.80, VOC_(PPM): 134.24, CO2_(PPM): 816.00, PM1.0_(ug/m3): 34, PM2.5_(ug/m3): 43, PM10_(ug/m3): 49
14:58:11.701 Temperature_(C): 20.80, Humidity_(%): 56.80, VOC_(PPM): 147.91, CO2_(PPM): 820.00, PM1.0_(ug/m3): 34, PM2.5_(ug/m3): 43, PM10_(ug/m3): 50
14:58:12.635 Temperature_(C): 20.80, Humidity_(%): 56.80, VOC_(PPM): 127.76, CO2_(PPM): 809.00, PM1.0_(ug/m3): 33, PM2.5_(ug/m3): 42, PM10_(ug/m3): 48
