10:06:34.116 Temperature_(C): 21.80, Humidity_(%): 71.20, VOC_(PPM): 342.61, CO2_(PPM): 523.00, PM1.0_(ug/m3): 10, PM2.5_(ug/m3): 15, PM10_(ug/m3): 15
10:06:34.931 Temperature_(C): 21.80, Humidity_(%): 71.20, VOC_(PPM): 166.38, CO2_(PPM): 523.00, PM1.0_(ug/m3): 10, PM2.5_(ug/m3): 15, PM10_(ug/m3): 15
10:06:35.791 Temperature_(C): 21.80, Humidity_(%): 71.20, VOC_(PPM): 174.04, CO2_(PPM): 521.00, PM1.0_(ug/m3): 10, PM2.5_(ug/m3): 15, PM10_(ug/m3): 15
10:06:38.417 Temperature_(C): 21.80, Humidity_(%): 71.40, VOC_(PPM): 173.84, CO2_(PPM): 511.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 12, PM10_(ug/m3): 12
10:06:39.310 Temperature_(C): 21.80, Humidity_(%): 71.40, VOC_(PPM): 162.45, CO2_(PPM): 508.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 13, PM10_(ug/m3): 13
10:06:40.178 Temperature_(C): 21.80, Humidity_(%): 71.60, VOC_(PPM): 215.84, CO2_(PPM): 503.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 13, PM10_(ug/m3): 13
10:06:41.014 Temperature_(C): 21.80, Humidity_(%): 71.60, VOC_(PPM): 154.99, CO2_(PPM): 503.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 13, PM10_(ug/m3): 13
10:06:41.919 Temperature_(C): 21.80, Humidity_(%): 71.60, VOC_(PPM): 173.63, CO2_(PPM): 501.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 12, PM10_(ug/m3): 12
10:06:42.783 Temperature_(C): 21.80, Humidity_(%): 71.50, VOC_(PPM): 158.69, CO2_(PPM): 499.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 12, PM10_(ug/m3): 12
10:06:43.627 Temperature_(C): 21.80, Humidity_(%): 71.50, VOC_(PPM): 166.09, CO2_(PPM): 498.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 12, PM10_(ug/m3): 12
10:06:44.540 Temperature_(C): 21.80, Humidity_(%): 71.70, VOC_(PPM): 134.54, CO2_(PPM): 495.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 12, PM10_(ug/m3): 12
10:06:45.409 Temperature_(C): 21.80, Humidity_(%): 71.70, VOC_(PPM): 169.68, CO2_(PPM): 494.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 12, PM10_(ug/m3): 12
10:06:46.253 Temperature_(C): 21.80, Humidity_(%): 71.60, VOC_(PPM): 181.54, CO2_(PPM): 491.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 12, PM10_(ug/m3): 12
10:06:47.178 Temperature_(C): 21.80, Humidity_(%): 71.60, VOC_(PPM): 162.26, CO2_(PPM): 487.00, PM1.0_(ug/m3): 7, PM2.5_(ug/m3): 10, PM10_(ug/m3): 10
10:06:48.014 Temperature_(C): 21.80, Humidity_(%): 71.60, VOC_(PPM): 173.63, CO2_(PPM): 487.00, PM1.0_(ug/m3): 7, PM2.5_(ug/m3): 10, PM10_(ug/m3): 10
10:06:48.866 Temperature_(C): 21.80, Humidity_(%): 71.50, VOC_(PPM): 148.05, CO2_(PPM): 484.00, PM1.0_(ug/m3): 7, PM2.5_(ug/m3): 10, PM10_(ug/m3): 10
10:06:49.780 Temperature_(C): 21.80, Humidity_(%): 71.50, VOC_(PPM): 166.09, CO2_(PPM): 483.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 9, PM10_(ug/m3): 9
10:06:50.627 Temperature_(C): 21.70, Humidity_(%): 71.10, VOC_(PPM): 141.73, CO2_(PPM): 483.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 9, PM10_(ug/m3): 9
10:06:51.471 Temperature_(C): 21.70, Humidity_(%): 71.10, VOC_(PPM): 155.60, CO2_(PPM): 483.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 9, PM10_(ug/m3): 9
10:06:52.385 Temperature_(C): 21.80, Humidity_(%): 70.90, VOC_(PPM): 170.47, CO2_(PPM): 481.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 7, PM10_(ug/m3): 7
10:06:53.253 Temperature_(C): 21.80, Humidity_(%): 70.90, VOC_(PPM): 152.07, CO2_(PPM): 479.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 7, PM10_(ug/m3): 7
10:06:54.089 Temperature_(C): 21.80, Humidity_(%): 70.90, VOC_(PPM): 159.24, CO2_(PPM): 479.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 7, PM10_(ug/m3): 7
10:06:54.998 Temperature_(C): 21.80, Humidity_(%): 70.80, VOC_(PPM): 145.22, CO2_(PPM): 476.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
10:06:55.866 Temperature_(C): 21.80, Humidity_(%): 70.80, VOC_(PPM): 152.15, CO2_(PPM): 473.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
10:06:56.710 Temperature_(C): 21.70, Humidity_(%): 70.60, VOC_(PPM): 132.32, CO2_(PPM): 471.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
10:06:57.628 Temperature_(C): 21.70, Humidity_(%): 70.60, VOC_(PPM): 148.98, CO2_(PPM): 469.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 6, PM10_(ug/m3): 6
10:06:58.472 Temperature_(C): 21.70, Humidity_(%): 70.70, VOC_(PPM): 155.96, CO2_(PPM): 467.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 6, PM10_(ug/m3): 6
10:06:59.315 Temperature_(C): 21.70, Humidity_(%): 70.70, VOC_(PPM): 138.73, CO2_(PPM): 464.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 6, PM10_(ug/m3): 6
10:07:00.225 Temperature_(C): 21.70, Humidity_(%): 70.30, VOC_(PPM): 179.07, CO2_(PPM): 464.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
10:07:01.085 Temperature_(C): 21.70, Humidity_(%): 70.30, VOC_(PPM): 142.39, CO2_(PPM): 462.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
10:07:01.929 Temperature_(C): 21.70, Humidity_(%): 70.30, VOC_(PPM): 149.23, CO2_(PPM): 461.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
10:07:02.842 Temperature_(C): 21.70, Humidity_(%): 70.30, VOC_(PPM): 139.05, CO2_(PPM): 459.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
