 PM10_(ug/m3): 25
15:03:50.535 Temperature_(C): 20.70, Humidity_(%): 61.30, VOC_(PPM): 158.66, CO2_(PPM): 490.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:03:51.366 Temperature_(C): 20.70, Humidity_(%): 61.30, VOC_(PPM): 170.06, CO2_(PPM): 493.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:03:52.218 Temperature_(C): 20.70, Humidity_(%): 61.30, VOC_(PPM): 314.16, CO2_(PPM): 517.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:03:54.827 Temperature_(C): 20.60, Humidity_(%): 66.40, VOC_(PPM): 181.05, CO2_(PPM): 677.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:03:55.740 Temperature_(C): 20.60, Humidity_(%): 66.40, VOC_(PPM): 189.29, CO2_(PPM): 685.00, PM1.0_(ug/m3): 7, PM2.5_(ug/m3): 7, PM10_(ug/m3): 7
15:03:56.679 Temperature_(C): 20.60, Humidity_(%): 68.00, VOC_(PPM): 175.42, CO2_(PPM): 688.00, PM1.0_(ug/m3): 16, PM2.5_(ug/m3): 16, PM10_(ug/m3): 18
15:03:57.592 Temperature_(C): 20.60, Humidity_(%): 68.00, VOC_(PPM): 187.57, CO2_(PPM): 691.00, PM1.0_(ug/m3): 22, PM2.5_(ug/m3): 24, PM10_(ug/m3): 25
15:03:58.513 Temperature_(C): 20.60, Humidity_(%): 68.00, VOC_(PPM): 163.87, CO2_(PPM): 694.00, PM1.0_(ug/m3): 27, PM2.5_(ug/m3): 32, PM10_(ug/m3): 33
15:03:59.457 Temperature_(C): 20.60, Humidity_(%): 69.10, VOC_(PPM): 178.28, CO2_(PPM): 697.00, PM1.0_(ug/m3): 32, PM2.5_(ug/m3): 39, PM10_(ug/m3): 43
15:03:59.877 Disconnected
