08:16:16.480 Temperature_(C): 19.80, Humidity_(%): 81.90, VOC_(PPM): 132.40, CO2_(PPM): 829.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 13, PM10_(ug/m3): 15
08:16:17.422 Temperature_(C): 19.80, Humidity_(%): 82.00, VOC_(PPM): 159.31, CO2_(PPM): 829.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 13, PM10_(ug/m3): 15
08:16:18.262 Temperature_(C): 19.80, Humidity_(%): 82.00, VOC_(PPM): 135.50, CO2_(PPM): 830.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 13, PM10_(ug/m3): 15
08:16:19.105 Temperature_(C): 19.80, Humidity_(%): 82.00, VOC_(PPM): 142.02, CO2_(PPM): 830.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 13, PM10_(ug/m3): 15
08:16:20.019 Temperature_(C): 19.90, Humidity_(%): 81.90, VOC_(PPM): 131.86, CO2_(PPM): 832.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 14, PM10_(ug/m3): 15
08:16:20.868 Temperature_(C): 19.90, Humidity_(%): 81.90, VOC_(PPM): 144.85, CO2_(PPM): 832.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 14, PM10_(ug/m3): 15
08:16:21.706 Temperature_(C): 19.90, Humidity_(%): 81.70, VOC_(PPM): 125.84, CO2_(PPM): 832.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 14, PM10_(ug/m3): 15
08:16:22.632 Temperature_(C): 19.90, Humidity_(%): 81.70, VOC_(PPM): 148.40, CO2_(PPM): 833.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 14, PM10_(ug/m3): 14
08:16:23.482 Temperature_(C): 19.90, Humidity_(%): 81.90, VOC_(PPM): 169.81, CO2_(PPM): 833.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 14, PM10_(ug/m3): 14
08:16:24.340 Temperature_(C): 19.90, Humidity_(%): 81.90, VOC_(PPM): 138.24, CO2_(PPM): 834.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 14, PM10_(ug/m3): 14
08:16:25.259 Temperature_(C): 19.90, Humidity_(%): 81.90, VOC_(PPM): 193.63, CO2_(PPM): 834.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 15, PM10_(ug/m3): 15
08:16:26.103 Temperature_(C): 20.00, Humidity_(%): 81.60, VOC_(PPM): 138.86, CO2_(PPM): 835.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 15, PM10_(ug/m3): 15
08:16:26.946 Temperature_(C): 20.00, Humidity_(%): 81.60, VOC_(PPM): 145.50, CO2_(PPM): 835.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 15, PM10_(ug/m3): 15
08:16:27.884 Temperature_(C): 20.00, Humidity_(%): 81.30, VOC_(PPM): 132.68, CO2_(PPM): 837.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 15, PM10_(ug/m3): 15
08:16:28.719 Temperature_(C): 20.00, Humidity_(%): 81.30, VOC_(PPM): 145.75, CO2_(PPM): 837.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 15, PM10_(ug/m3): 15
