15:35:51.140 Temperature_(C): 21.80, Humidity_(%): 55.50, VOC_(PPM): 576.93, CO2_(PPM): 436.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 13, PM10_(ug/m3): 13
15:35:52.054 Temperature_(C): 21.80, Humidity_(%): 55.50, VOC_(PPM): 538.41, CO2_(PPM): 436.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 12, PM10_(ug/m3): 12
15:35:52.959 Temperature_(C): 21.80, Humidity_(%): 55.50, VOC_(PPM): 576.93, CO2_(PPM): 436.00, PM1.0_(ug/m3): 7, PM2.5_(ug/m3): 12, PM10_(ug/m3): 12
15:35:53.868 Temperature_(C): 21.80, Humidity_(%): 55.20, VOC_(PPM): 529.99, CO2_(PPM): 436.00, PM1.0_(ug/m3): 7, PM2.5_(ug/m3): 11, PM10_(ug/m3): 11
15:35:54.804 Temperature_(C): 21.80, Humidity_(%): 55.20, VOC_(PPM): 568.06, CO2_(PPM): 436.00, PM1.0_(ug/m3): 7, PM2.5_(ug/m3): 11, PM10_(ug/m3): 11
15:35:55.727 Temperature_(C): 21.80, Humidity_(%): 55.40, VOC_(PPM): 520.21, CO2_(PPM): 436.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 7, PM10_(ug/m3): 7
15:35:56.629 Temperature_(C): 21.80, Humidity_(%): 55.40, VOC_(PPM): 548.16, CO2_(PPM): 436.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 4, PM10_(ug/m3): 4
15:35:57.575 Temperature_(C): 21.90, Humidity_(%): 55.30, VOC_(PPM): 520.00, CO2_(PPM): 436.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
15:35:58.481 Temperature_(C): 21.90, Humidity_(%): 55.30, VOC_(PPM): 557.50, CO2_(PPM): 436.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
15:35:59.402 Temperature_(C): 21.90, Humidity_(%): 55.40, VOC_(PPM): 458.85, CO2_(PPM): 436.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
15:36:00.242 Temperature_(C): 21.90, Humidity_(%): 55.40, VOC_(PPM): 576.70, CO2_(PPM): 436.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
15:36:01.087 Temperature_(C): 21.90, Humidity_(%): 55.40, VOC_(PPM): 617.32, CO2_(PPM): 436.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
15:36:01.995 Temperature_(C): 22.00, Humidity_(%): 55.30, VOC_(PPM): 566.64, CO2_(PPM): 436.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
15:36:02.851 Temperature_(C): 22.00, Humidity_(%): 55.30, VOC_(PPM): 606.71, CO2_(PPM): 437.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
15:36:03.724 Temperature_(C): 21.90, Humidity_(%): 55.20, VOC_(PPM): 548.24, CO2_(PPM): 436.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
15:36:04.613 Temperature_(C): 21.90, Humidity_(%): 55.20, VOC_(PPM): 597.41, CO2_(PPM): 436.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 4, PM10_(ug/m3): 4
